sample_id,word_id,raw_word,gold_start,gold_end,confidence,evidence_note
-HwX2H8Z4hY$_$2,1,[President,,,,
-HwX2H8Z4hY$_$2,2,Ronald,,,,
-HwX2H8Z4hY$_$2,4,"""Look",,,,
-HwX2H8Z4hY$_$2,5,at,,,,
-HwX2H8Z4hY$_$2,6,the,,,,
-HwX2H8Z4hY$_$9,2,a,,,,
-HwX2H8Z4hY$_$9,6,administrator,,,,
-HwX2H8Z4hY$_$9,10,turns,,,,
-HwX2H8Z4hY$_$9,15,doesn't,,,,
-HwX2H8Z4hY$_$9,19,teacher,,,,
-NFrJFQijFE$_$1,2,inside,,,,
-NFrJFQijFE$_$1,4,to,,,,
-NFrJFQijFE$_$1,8,analyzed,,,,
-NFrJFQijFE$_$1,10,we,,,,
-NFrJFQijFE$_$1,14,that,,,,
-NFrJFQijFE$_$2,2,coordinate,,,,
-NFrJFQijFE$_$2,5,the,,,,
-NFrJFQijFE$_$2,8,fields,,,,
-NFrJFQijFE$_$2,12,for,,,,
-NFrJFQijFE$_$2,15,to,,,,
-aqamKhZ1Ec$_$0,1,"2008,",,,,
-aqamKhZ1Ec$_$0,4,very,,,,
-aqamKhZ1Ec$_$0,6,tribal,,,,
-aqamKhZ1Ec$_$0,9,Kenya,,,,
-aqamKhZ1Ec$_$0,12,disputed,,,,
-hnBHBN8p5A$_$6,1,how,,,,
-hnBHBN8p5A$_$6,4,ideas,,,,
-hnBHBN8p5A$_$6,6,opinions,,,,
-hnBHBN8p5A$_$6,8,effectively,,,,
-hnBHBN8p5A$_$6,11,native,,,,
-hnBHBN8p5A$_$7,1,"this,",,,,
-hnBHBN8p5A$_$7,4,actually,,,,
-hnBHBN8p5A$_$7,6,"hacking,",,,,
-hnBHBN8p5A$_$7,8,in,,,,
-hnBHBN8p5A$_$7,11,formal,,,,
-iRBcNs9oI8$_$3,1,it,,,,
-iRBcNs9oI8$_$3,2,is,,,,
-iRBcNs9oI8$_$3,4,secret,,,,
-iRBcNs9oI8$_$3,5,of,,,,
-iRBcNs9oI8$_$3,6,power,,,,
-iRBcNs9oI8$_$6,0,What,,,,
-iRBcNs9oI8$_$6,1,is,,,,
-iRBcNs9oI8$_$6,2,a,,,,
-iRBcNs9oI8$_$6,3,power,,,,
-iRBcNs9oI8$_$6,4,pose,,,,
-iRBcNs9oI8$_$7,1,for,,,,
-iRBcNs9oI8$_$7,2,"starters,",,,,
-iRBcNs9oI8$_$7,4,look,,,,
-iRBcNs9oI8$_$7,6,the,,,,
-iRBcNs9oI8$_$7,7,word,,,,
-iRBcNs9oI8$_$8,2,this,,,,
-iRBcNs9oI8$_$8,6,if,,,,
-iRBcNs9oI8$_$8,10,he,,,,
-iRBcNs9oI8$_$8,14,of,,,,
-iRBcNs9oI8$_$8,18,looks,,,,
-iRBcNs9oI8$_$9,0,Power,,,,
-iRBcNs9oI8$_$9,1,is,,,,
-iRBcNs9oI8$_$9,2,similar,,,,
-iRBcNs9oI8$_$9,3,to,,,,
-iRBcNs9oI8$_$9,4,strength,,,,
-mJ2ud6oKI8$_$1,1,are,,,,
-mJ2ud6oKI8$_$1,4,or,,,,
-mJ2ud6oKI8$_$1,6,hands,,,,
-mJ2ud6oKI8$_$1,8,techniques,,,,
