sample_index,sample_id,video_id,clip_id,video_relpath,raw_text,excel_sheet,excel_row,input_status
0,-3g5yACwYnA$_$13,-3g5yACwYnA,13,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/13.mp4,They've been able to find solutions or at least bring some answers to the table.,label,2,ok
1,-3g5yACwYnA$_$2,-3g5yACwYnA,2,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/2.mp4,Key Polymer brings a technical aspect to our operation that we don't have internally.,label,4,ok
2,-3g5yACwYnA$_$3,-3g5yACwYnA,3,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/3.mp4,"We're a huge user of adhesives for our operation, called flocking, and we don't have the technical inside compounding or the technical expertise to do these types of things.",label,3,ok
3,-3g5yACwYnA$_$9,-3g5yACwYnA,9,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/9.mp4,"We have many new opportunities through the way things have changed through the years, looking for new niche high-end, value-added products.",label,5,ok
4,-3nNcZdcdvU$_$5,-3nNcZdcdvU,5,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3nNcZdcdvU/5.mp4,Noncompliance can result in legal liability to you and to the school district in which you are employed.,label,6,ok
5,-571d8cVauQ$_$0,-571d8cVauQ,0,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-571d8cVauQ/0.mp4,"This is Rhett Reiger, White Caspian Studios on behalf of Expert Village.",label,66,ok
6,-571d8cVauQ$_$5,-571d8cVauQ,5,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-571d8cVauQ/5.mp4,"So very important to go out to the locations, walk around, talk with the owners if you can, tell them what you're doing, build a little excitement, put a little glitz on there and let everybody knows this is a very valuable spot.",label,67,ok
7,-6rXp3zJ3kc$_$8,-6rXp3zJ3kc,8,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-6rXp3zJ3kc/8.mp4,Many people are not until they get to be a older age and they realize that gosh they wasted a lot of time and money in placing bets on stock that's ultimately lost value.,label,76,ok
8,-9y-fZ3swSY$_$0,-9y-fZ3swSY,0,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-9y-fZ3swSY/0.mp4,"is, you can say, hey I really like baby skin, they are so soft, they don’t have any hair on their face",label,77,ok
9,-9y-fZ3swSY$_$4,-9y-fZ3swSY,4,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-9y-fZ3swSY/4.mp4,I’ve seen this in US or in the US,label,78,ok
10,-9y-fZ3swSY$_$8,-9y-fZ3swSY,8,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-9y-fZ3swSY/8.mp4,That’s a more decent and more polite way to call a lady,label,79,ok
11,-AUZQgSxyPQ$_$2,-AUZQgSxyPQ,2,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-AUZQgSxyPQ/2.mp4,"The perfect soul mate to the Clarisonic Spot Therapy Brush, this gentle, Ph balanced and hydrating exfoliant containing jojoba and acai fruit oils and bamboo and prickly bear extracts deliver intense healing, while smooth granules buff away dead, dry skin cells.",label,80,ok
12,-HeZS2-Prhc$_$2,-HeZS2-Prhc,2,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HeZS2-Prhc/2.mp4,The August jobs report is out and it was seen overall as solid but not great.,label,81,ok
13,-HwX2H8Z4hY$_$2,-HwX2H8Z4hY,2,附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/2.mp4,"” [President Ronald Reagan:] ""Look at the record",label,7,ok
