sample_id,sample_index,original_paired_use,original_group,semantic_status,temporal_status,stage2_visual_status,stage3_visual_status,visual_status,mapping_status,resolution_status,resolution_reason,candidate_only,production_written,usable_text,usable_audio_fraction,usable_visual_fraction,usable_trimodal_fraction,reason,recommended_semantic_status,recommended_temporal_status,recommended_visual_segments,recommended_masks,recommended_resolution_status,writeback_recommended,proposed_paired_use,direct_talknet_fraction,continuity_recovered_fraction,visual_usable_fraction,mapping_candidate_sample_id,requires_explicit_review,writeback_approved,writeback_executed
-3g5yACwYnA$_$13,0,1,no_alert,MATCH_STRONG,VERIFIED,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.68,1.0,1.0,0.68,semantic_time_and_visual_evidence_are_sufficient,MATCH_STRONG,VERIFIED,[],"{""audio_mask_required"":false,""vision_mask_nonverified_segments"":true,""no_face_full_vision_mask"":false}",RESOLVED_VALID,1,1,,,,,0,0,0
-3g5yACwYnA$_$2,1,1,no_alert,MATCH_STRONG,VERIFIED,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.54,1.0,1.0,0.54,semantic_time_and_visual_evidence_are_sufficient,MATCH_STRONG,VERIFIED,[],"{""audio_mask_required"":false,""vision_mask_nonverified_segments"":true,""no_face_full_vision_mask"":false}",RESOLVED_VALID,1,1,,,,,0,0,0
-3g5yACwYnA$_$3,2,1,no_alert,MATCH_STRONG,VERIFIED,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.8,1.0,1.0,0.8,semantic_time_and_visual_evidence_are_sufficient,MATCH_STRONG,VERIFIED,[],"{""audio_mask_required"":false,""vision_mask_nonverified_segments"":true,""no_face_full_vision_mask"":false}",RESOLVED_VALID,1,1,,,,,0,0,0
-3g5yACwYnA$_$9,3,1,no_alert,MATCH_STRONG,VERIFIED,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.86,1.0,1.0,0.86,semantic_time_and_visual_evidence_are_sufficient,MATCH_STRONG,VERIFIED,[],"{""audio_mask_required"":false,""vision_mask_nonverified_segments"":true,""no_face_full_vision_mask"":false}",RESOLVED_VALID,1,1,,,,,0,0,0
-3nNcZdcdvU$_$5,4,1,no_alert,MATCH_STRONG,VERIFIED,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.88,1.0,1.0,0.88,semantic_time_and_visual_evidence_are_sufficient,MATCH_STRONG,VERIFIED,[],"{""audio_mask_required"":false,""vision_mask_nonverified_segments"":true,""no_face_full_vision_mask"":false}",RESOLVED_VALID,1,1,,,,,0,0,0
-571d8cVauQ$_$0,5,1,no_alert,MATCH_STRONG,VERIFIED,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.7,0.98,0.96,0.7,semantic_time_and_visual_evidence_are_sufficient,MATCH_STRONG,VERIFIED,[],"{""audio_mask_required"":false,""vision_mask_nonverified_segments"":true,""no_face_full_vision_mask"":false}",RESOLVED_VALID,1,1,,,,,0,0,0
-571d8cVauQ$_$5,6,1,no_alert,MATCH_STRONG,VERIFIED,unresolved,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.92,1.0,1.0,0.92,semantic_time_and_visual_evidence_are_sufficient,MATCH_STRONG,VERIFIED,[],"{""audio_mask_required"":false,""vision_mask_nonverified_segments"":true,""no_face_full_vision_mask"":false}",RESOLVED_VALID,1,1,,,,,0,0,0
-6rXp3zJ3kc$_$8,7,1,no_alert,MATCH_STRONG,VERIFIED,fully_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.9,1.0,1.0,0.9,semantic_time_and_visual_evidence_are_sufficient,MATCH_STRONG,VERIFIED,[],"{""audio_mask_required"":false,""vision_mask_nonverified_segments"":true,""no_face_full_vision_mask"":false}",RESOLVED_VALID,1,1,,,,,0,0,0
-9y-fZ3swSY$_$0,8,1,no_alert,MATCH_STRONG,VERIFIED,unresolved,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.9,0.98,1.0,0.9,semantic_time_and_visual_evidence_are_sufficient,MATCH_STRONG,VERIFIED,[],"{""audio_mask_required"":false,""vision_mask_nonverified_segments"":true,""no_face_full_vision_mask"":false}",RESOLVED_VALID,1,1,,,,,0,0,0
-9y-fZ3swSY$_$4,9,1,no_alert,MATCH_STRONG,VERIFIED,fully_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_VALID,semantic_time_and_visual_evidence_are_sufficient,1,0,0.82,0.96,0.96,0.82,semantic_time_and_visual_evidence_are_sufficient,MATCH_STRONG,VERIFIED,[],"{""audio_mask_required"":false,""vision_mask_nonverified_segments"":true,""no_face_full_vision_mask"":false}",RESOLVED_VALID,1,1,,,,,0,0,0
-9y-fZ3swSY$_$8,10,0,identity_only,MATCH_STRONG,VERIFIED,unresolved,UNRESOLVED,UNRESOLVED,NOT_SUSPECTED,UNRESOLVED,target_visual_identity_remains_unresolved,1,0,0.82,1.0,0.0,0.0,target_visual_identity_remains_unresolved,MATCH_STRONG,VERIFIED,[],"{""audio_mask_required"":false,""vision_mask_nonverified_segments"":true,""no_face_full_vision_mask"":false}",UNRESOLVED,0,0,0.0,0.0,0.0,,1,0,0
-AUZQgSxyPQ$_$2,11,1,no_alert,MATCH_STRONG,PARTIAL,partially_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_PARTIAL,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked,1,0,0.98,0.94,1.0,0.94,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked,MATCH_STRONG,PARTIAL,[],"{""audio_mask_required"":false,""vision_mask_nonverified_segments"":true,""no_face_full_vision_mask"":false}",RESOLVED_PARTIAL,1,1,,,,,0,0,0
-HeZS2-Prhc$_$2,12,1,no_alert,MATCH_STRONG,PARTIAL,fully_verified,FULLY_VERIFIED,FULLY_VERIFIED,NOT_SUSPECTED,RESOLVED_PARTIAL,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked,1,0,0.76,0.68,1.0,0.62,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked,MATCH_STRONG,PARTIAL,[],"{""audio_mask_required"":false,""vision_mask_nonverified_segments"":true,""no_face_full_vision_mask"":false}",RESOLVED_PARTIAL,1,1,,,,,0,0,0
-HwX2H8Z4hY$_$2,13,0,identity_and_text_audio,CONFLICT,NOT_APPLICABLE,unresolved,UNRESOLVED,UNRESOLVED,NOT_SUSPECTED,UNRESOLVED,target_visual_identity_remains_unresolved,1,0,0.0,0.0,0.0,0.0,target_visual_identity_remains_unresolved,CONFLICT,NOT_APPLICABLE,[],"{""audio_mask_required"":true,""vision_mask_nonverified_segments"":true,""no_face_full_vision_mask"":false}",UNRESOLVED,0,0,0.0,0.0,0.0,,1,0,0
-HwX2H8Z4hY$_$5,14,0,identity_only,MATCH_STRONG,VERIFIED,unresolved,UNRESOLVED,UNRESOLVED,NOT_SUSPECTED,UNRESOLVED,target_visual_identity_remains_unresolved,1,0,0.82,1.0,0.0,0.0,target_visual_identity_remains_unresolved,MATCH_STRONG,VERIFIED,[],"{""audio_mask_required"":false,""vision_mask_nonverified_segments"":true,""no_face_full_vision_mask"":false}",UNRESOLVED,0,0,0.0,0.0,0.0,,1,0,0
-HwX2H8Z4hY$_$6,15,0,identity_only,MATCH_STRONG,VERIFIED,unresolved,UNRESOLVED,UNRESOLVED,NOT_SUSPECTED,UNRESOLVED,target_visual_identity_remains_unresolved,1,0,0.68,0.98,0.0,0.0,target_visual_identity_remains_unresolved,MATCH_STRONG,VERIFIED,[],"{""audio_mask_required"":false,""vision_mask_nonverified_segments"":true,""no_face_full_vision_mask"":false}",UNRESOLVED,0,0,0.0,0.0,0.0,,1,0,0
-HwX2H8Z4hY$_$9,16,0,identity_and_text_audio,MATCH_STRONG,VERIFIED,partially_verified,PARTIALLY_VERIFIED,PARTIALLY_VERIFIED,NOT_SUSPECTED,RESOLVED_PARTIAL,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked,1,0,0.0,1.0,0.54,0.0,usable_evidence_is_partial_and_unreliable_regions_are_explicitly_masked,MATCH_STRONG,VERIFIED,"[{""start"":1.0,""end"":1.25,""status"":""VERIFIED_ACTIVE"",""identity"":""0""},{""start"":2.75,""end"":3.0,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":3.0,""end"":3.25,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":3.25,""end"":3.5,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":3.5,""end"":3.75,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":3.75,""end"":4.0,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":4.0,""end"":4.25,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":4.25,""end"":4.5,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":4.5,""end"":4.75,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":4.75,""end"":5.0,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":5.0,""end"":5.25,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":5.25,""end"":5.5,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":5.5,""end"":5.75,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":5.75,""end"":6.0,""status"":""VERIFIED_CONTINUITY"",""identity"":""0""},{""start"":6.0,""end"":6.25,""status"":""VERIFIED_ACTIVE"",""identity"":""0""},{""start"":6.25,""end"":6.5,""status"":""VERIFIED_ACTIVE"",""identity"":""0""},{""start"":6.5,""end"":6.75,""status"":""VERIFIED_ACTIVE"",""identity"":""0""},{""start"":6.75,""end"":7.0,""status"":""VERIFIED_ACTIVE"",""identity"":""0""},{""start"":7.0,""end"":7.25,""status"":""VERIFIED_ACTIVE"",""identity"":""0""},{""start"":7.25,""end"":7.5,""status"":""VERIFIED_ACTIVE"",""identity"":""0""},{""start"":7.5,""end"":7.733333333333333,""status"":""VERIFIED_ACTIVE"",""identity"":""0""}]","{""audio_mask_required"":false,""vision_mask_nonverified_segments"":true,""no_face_full_vision_mask"":false}",RESOLVED_PARTIAL,1,0,0.25646551724137934,0.4202586206896552,0.6767241379310345,,0,0,0
