sample_id,ta_evidence_level,text_audio_status,semantic_support,ctc_support,boundary_support,evidence_reason
-3g5yACwYnA$_$13,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-3g5yACwYnA$_$2,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-3g5yACwYnA$_$3,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-3g5yACwYnA$_$9,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-3nNcZdcdvU$_$5,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-571d8cVauQ$_$0,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-571d8cVauQ$_$5,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-6rXp3zJ3kc$_$8,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-9y-fZ3swSY$_$0,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-9y-fZ3swSY$_$4,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-9y-fZ3swSY$_$8,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-AUZQgSxyPQ$_$2,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-HeZS2-Prhc$_$2,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-HwX2H8Z4hY$_$2,TA_CONFLICT,uncertain,0,0,0,CTC and WhisperX/negative-control evidence do not establish the official pairing
-HwX2H8Z4hY$_$5,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-HwX2H8Z4hY$_$6,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-HwX2H8Z4hY$_$9,TA_SEMANTIC_ONLY,timing_partial,1,0,1,"WhisperX and negative controls support the official text, but CTC coverage or timing is partial"
-I_e4mIh0yE$_$1,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-I_e4mIh0yE$_$3,TA_SEMANTIC_ONLY,timing_partial,1,1,0,"WhisperX and negative controls support the official text, but CTC coverage or timing is partial"
-MeTTeMJBNc$_$0,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-MeTTeMJBNc$_$13,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-MeTTeMJBNc$_$7,TA_STRONG,verified,1,1,1,"WhisperX semantics, negative controls, CTC coverage, and word timing agree"
-NFrJFQijFE$_$1,TA_CONFLICT,uncertain,0,0,0,CTC and WhisperX/negative-control evidence do not establish the official pairing
